Id,District.Name,Neighborhood.Name,Longitude,Latitude,Month,Day.Span,Hour.Span,Weekday,Weekday.Weekend,Mild.injuries,Serious.injuries,Victims,Vehicles.involved,District.Name_imp,Neighborhood.Name_imp
2017S004506    ,Horta-Guinardó,Montbau,2.144229,41.43407,May,21-25,18-21h,Sunday,Weekend,1,0,1,2,FALSE,FALSE
2017S008383    ,Horta-Guinardó,Montbau,2.143433,41.428021,October,11-15,06-09h,Wednesday,Weekday,2,0,2,2,FALSE,FALSE
2017S000709    ,Horta-Guinardó,Montbau,2.144584,41.430611,January,26-31,06-09h,Friday,Weekday,1,0,1,2,FALSE,FALSE
2017S001539    ,Horta-Guinardó,Sant Genís dels Agudells,2.128899,41.431862,February,21-25,15-18h,Friday,Weekday,1,0,1,2,FALSE,FALSE
2017S009648    ,Horta-Guinardó,Sant Genís dels Agudells,2.141069,41.4229,November,16-20,18-21h,Monday,Weekday,1,0,1,2,FALSE,FALSE
2017S010545    ,Horta-Guinardó,la Teixonera,2.14233,41.424787,December,16-20,18-21h,Wednesday,Weekday,1,0,1,1,FALSE,FALSE
2017S009960    ,Horta-Guinardó,Sant Genís dels Agudells,2.138751,41.418647,November,26-31,12-15h,Wednesday,Weekday,1,0,1,2,FALSE,FALSE
2017S003709    ,Horta-Guinardó,la Font d'en Fargues,2.167418,41.424724,April,16-20,03-06h,Sunday,Weekend,1,0,1,4,FALSE,FALSE
2017S003866    ,Horta-Guinardó,la Font d'en Fargues,2.162299,41.422434,May,1-5,06-09h,Tuesday,Weekday,1,0,1,2,FALSE,FALSE
2017S006626    ,Horta-Guinardó,la Clota,2.15404,41.431209,July,26-31,12-15h,Sunday,Weekend,1,0,1,1,FALSE,FALSE
2017S001193    ,Horta-Guinardó,Montbau,2.14336,41.433893,February,11-15,12-15h,Monday,Weekday,1,0,1,1,FALSE,FALSE
2017S002088    ,Horta-Guinardó,la Clota,2.144064,41.428958,March,11-15,15-18h,Wednesday,Weekday,1,0,1,2,FALSE,FALSE
